"country","group","exp_pts","exp_gf","exp_gd","first_in_group","second_in_group","third_in_group","r16","qtrs","semis","finals","champ","date"
"France","A",6.69840000000011,5.09300000000022,3.66310000000014,0.681899999999941,0.229599999999991,0.070700000000001,0.972399999999909,0.768499999999932,0.459699999999966,0.311299999999982,0.190099999999995,2019-06-06
"Germany","B",7.37529999999987,6.74380000000019,5.21550000000021,0.822499999999926,0.140000000000001,0.0305999999999999,0.988899999999907,0.798899999999928,0.550499999999956,0.406299999999972,0.23929999999999,2019-06-06
"Spain","B",3.78360000000015,2.80030000000008,-0.687699999999987,0.0862000000000014,0.389699999999973,0.356699999999977,0.703499999999939,0.225899999999991,0.0856000000000014,0.0285999999999999,0.00820000000000001,2019-06-06
"Norway","A",4.78120000000024,3.92940000000021,1.05429999999996,0.231799999999991,0.450899999999967,0.214099999999993,0.846199999999923,0.492399999999962,0.231999999999991,0.0858000000000014,0.0348,2019-06-06
"Australia","C",6.19400000000037,8.02310000000009,5.14050000000019,0.401399999999972,0.428199999999969,0.168199999999998,0.989599999999907,0.547199999999956,0.289699999999984,0.0970000000000018,0.0355,2019-06-06
"Brazil","C",6.67600000000026,7.95820000000011,5.69600000000016,0.520099999999959,0.358299999999977,0.120100000000002,0.992899999999907,0.619999999999948,0.354199999999977,0.139900000000001,0.0592000000000007,2019-06-06
"England","D",6.48260000000022,6.21560000000019,3.86900000000014,0.548099999999956,0.338499999999979,0.0980000000000018,0.970199999999909,0.619599999999948,0.32809999999998,0.130300000000002,0.0545000000000005,2019-06-06
"Argentina","D",1.45299999999991,2.23419999999993,-4.93200000000018,0.0097,0.0506000000000004,0.246799999999989,0.199599999999994,0.0253999999999999,0.003,4e-04,0,2019-06-06
"Canada","E",5.54370000000024,3.9761000000002,1.90389999999987,0.448199999999967,0.336199999999979,0.1517,0.902999999999917,0.458099999999966,0.219099999999992,0.0905000000000016,0.0322999999999999,2019-06-06
"New Zealand","E",2.81550000000009,2.10269999999988,-1.69529999999989,0.0726000000000011,0.178999999999997,0.347299999999978,0.479899999999963,0.104500000000002,0.0242999999999999,0.0053,8e-04,2019-06-06
"Chile","F",2.50860000000009,2.22539999999992,-3.59380000000011,0.0035,0.0578000000000006,0.775299999999931,0.407399999999971,0.0536000000000005,0.00760000000000001,0.001,3e-04,2019-06-06
"USA","F",7.79139999999979,10.7560999999999,9.56650000000001,0.78659999999993,0.205499999999994,0.00790000000000001,0.999699999999906,0.78689999999993,0.492799999999962,0.353699999999977,0.225499999999991,2019-06-06
"Nigeria","A",2.48940000000002,2.4788,-2.53009999999997,0.0401000000000001,0.156599999999999,0.352199999999978,0.430199999999969,0.123600000000003,0.0335999999999999,0.00710000000000001,0.0017,2019-06-06
"South Africa","B",1.69919999999987,1.3042999999999,-3.77500000000014,0.0102,0.101300000000002,0.246799999999989,0.231199999999991,0.0380000000000001,0.009,0.0023,2e-04,2019-06-06
"Japan","D",5.87260000000033,6.35280000000018,3.10990000000004,0.389999999999973,0.436099999999968,0.1447,0.947999999999912,0.516799999999959,0.24199999999999,0.0763000000000012,0.0256999999999999,2019-06-06
"Jamaica","C",0.314799999999994,1.57389999999987,-11.2038999999999,2e-04,0.0019,0.0414000000000002,0.0188999999999999,8e-04,0,0,0,2019-06-06
"Netherlands","E",5.40850000000028,4.46340000000022,1.88979999999987,0.42189999999997,0.335799999999979,0.167899999999998,0.893699999999918,0.41779999999997,0.187499999999996,0.072100000000001,0.0227999999999999,2019-06-06
"Sweden","F",6.13780000000049,6.89140000000016,4.59760000000018,0.209899999999993,0.733299999999936,0.0547000000000005,0.990499999999907,0.596699999999951,0.254399999999988,0.137000000000001,0.0566000000000006,2019-06-06
"China PR","B",3.71540000000016,2.66110000000005,-0.752799999999983,0.0811000000000013,0.368999999999976,0.365899999999976,0.686699999999941,0.215999999999993,0.0782000000000012,0.0275999999999999,0.00780000000000001,2019-06-06
"Korea Republic","A",2.59990000000005,2.42189999999999,-2.1872999999999,0.0462000000000003,0.162899999999998,0.362999999999976,0.446699999999967,0.138400000000001,0.0395000000000001,0.0095,0.0021,2019-06-06
"Italy","C",4.01530000000027,5.32430000000022,0.3674,0.0783000000000012,0.211599999999993,0.670299999999942,0.846399999999923,0.244999999999989,0.0663000000000009,0.0103,0.0014,2019-06-06
"Cameroon","E",2.58690000000004,2.02499999999984,-2.09839999999988,0.0573000000000006,0.149,0.33309999999998,0.428899999999969,0.0832000000000014,0.0196999999999999,0.0045,8e-04,2019-06-06
"Thailand","F",0.768899999999966,1.16779999999991,-10.5702999999999,0,0.0034,0.162099999999998,0.0484000000000004,0.0016,1e-04,0,0,2019-06-06
"Scotland","D",3.08600000000017,3.91450000000019,-2.04689999999988,0.0522000000000005,0.174799999999997,0.51049999999996,0.577099999999953,0.121100000000002,0.0230999999999999,0.0032,4e-04,2019-06-06
